Energy,Resistance,collimatore131x,collimatore131y,collimatore386x,collimatore386y,BES_formula,BES_cons
20,340,-5,5,-5,5,0.151,0.151
30,340,-5,5,-2,2,0.115,0.060
40,340,-5,5,-2,2,0.115,0.060
60,340,-5,5,-2,2,0.115,0.060
80,340,-5,5,-2,2,0.115,0.060
100,340,-5,5,-2,2,0.115,0.060
120,340,-3,3,-2,2,0.077,0.060
150,340,-3,3,-3,3,0.091,0.091
175,340,-3,3,-3,3,0.091,0.091
200,340,-3,3,-2,2,0.077,0.060
225,340,-3,3,-2,2,0.077,0.060
250,340,-3,3,-2,2,0.077,0.060
275,340,-3,3,-3,3,0.091,0.091
