energy,run,xmin,xmax,ymin,ymax
200,"427,428,429",-14,4,-7,3
175,431,-11,-1,-5,5
200,434,-15,-5,-5,5
250,"437,438,439",-15,-5,-5,5
120,474,-15,-5,-2,8
250,"418,482",-15,-5,-5,5
225,"513,514,517,518",-15,-5,1,11
100,521,-13,-3,1,11
80,526,-11,-1,-5,5
300,331,-6,4,-4,6
60,528,-9,1,-2,8
40,530,-12,2,-5,5
150,535,-15,-5,-3,7
175,539,-15,-5,-5,5
